watchers,forks
2,0
1,0
1,0
5,4
2,0
3,1
11,3
14,2
2,0
290,219
29,41
58,33
17,8
11,2
4,4
29,21
4,1
4,4
2,0
3,0
1,0
1,0
53,12
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
3,0
1,0
3,0
1,0
2,1
1,0
574,445
1,0
12,6
14,5
26,12
2,0
1,0
1,0
1,0
3,0
2,0
5,1
1,0
1,0
4,0
1,0
1,0
5,4
2,0
3,1
1,0
1,0
1,0
4,3
1,0
1,0
18,10
1,0
2,0
1,0
1,0
330,113
2,0
2,3
1,0
3,2
6,0
3,0
3,1
85,54
6,3
1,0
1,0
1,0
12,0
1,0
1,0
2,1
1,0
2,0
11,1
1,0
5549,2708
774,278
367,60
9,11
16,7
2,0
14,3
8,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
47,62
3,0
1,1
1,1
1,0
14,9
436,150
1,0
1,0
1,0
3,6
140,50
6,1
26,9
1,0
2,0
2,0
4,3
10,2
1,0
2,3
1,0
24,10
4,2
1,2
11,8
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
135,34
2,0
1,1
4,5
119,45
1,0
1,0
8,1
1,1
2,0
6,2
15,3
14,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
3,2
1,0
1,0
1,0
1,0
2,0
1,0
1,0
20,11
2,1
1,0
2,0
1,0
3,3
1,0
1,0
1,0
1,0
1,0
1,0
3,2
1,0
1,1
1,1
15,2
1,0
1,1
1,0
1,0
2,0
1,0
3,0
2,0
1,0
2,0
1,1
1,0
1,0
6,1
6,3
13,8
2,2
3,4
6,2
16,4
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
4,1
5,3
2,0
1,0
20,8
18,3
1,0
1,0
100,55
32,14
8,6
8,5
9,2
371,76
1,0
3,3
5,1
2,0
2,1
1,0
1,0
415,168
8,1
1,0
99,14
3,1
4,4
3,1
1,0
2,0
3,1
2,0
1,0
41,18
1,0
1,0
25,13
4,5
9,4
1,0
2,1
2,0
1,0
1,0
1,1
3,2
1,1
7,6
1,0
2,0
1,0
1,0
2,0
1,0
1,1
2,0
2,0
1,0
174,197
11,25
35,14
47,34
164,103
7,6
2,0
1,0
8,2
2,0
2,2
1,0
2,0
1,1
11,4
1,0
1,0
1,0
2,0
1,0
1,0
4,1
1,0
6,0
1,0
6,0
1,0
2,0
2,0
1,0
3,0
1,0
16,12
2,0
19,2
1,0
2,0
4,1
2,0
2,1
1,1
2,0
3,0
1,0
1,0
2,0
1,1
1,0
6,4
1,1
1,35
1,0
1,0
3,0
2,1
4,1
1,0
1,0
1,1
8,6
1,0
3,1
9,9
1,0
1,0
1,0
1,0
1,0
3,2
83,53
1,27
4,2
4,4
9,3
5,0
1,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
10,3
1,0
1,0
1,0
1,0
1,0
2,1
38,8
1,0
22,16
1,0
1,0
2,0
22,3
1,0
2,0
1,0
18,6
16,68
7,3
6,1
2,0
1,0
1,0
1,0
1,0
6,2
1,0
1,1
1,0
1,0
1,0
1,0
2,1
1,0
1,0
2,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
72,24
3,2
7,3
1,0
4,3
2,0
1,0
1,0
2,1
2,0
2,0
1,0
154,44
2,0
1,1
1,0
1,0
41,9
1,0
4,1
1,0
1,0
7,5
31,8
13,7
1,0
12,7
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
1,0
36,12
16,6
7,3
6657,3856
16,9
13,2
11,4
18,12
10,2
9,2
1,0
1,0
1,0
1,0
4,2
7,0
1,0
2,0
7,1
11,4
3,0
519,90
2,1
1,0
126,43
1,0
1,0
1,2
1,0
1,0
1,0
49,10
1,1
3,0
2,0
1,0
194,64
102,33
5,4
4,1
1,0
2,0
3,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
9,9
20,4
9,4
3,2
5,32
3,1
2,2
3,2
2,0
4,0
2,0
1,0
2,1
5,1
4,1
39,7
1,0
1,0
2,1
1,0
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
2,0
1,0
7,2
1,0
1,0
1,0
1,0
1,0
3,0
2,0
2,1
987,176
1,0
5,2
11,7
7,4
6,4
3,1
1,0
2,0
435,39
1,0
1,2
1,0
1,0
4,2
1,1
1,0
2,0
1,0
1,0
2,0
1,0
2,0
3,0
1,0
1,0
1,0
1,0
1,0
26,9
2,0
53,31
1,0
488,179
4,1
91,101
867,411
7,5
5,6
87,20
1,2
3,1
69,35
1,0
1,0
1,0
1,0
4,0
1,0
1,0
1,0
2,0
44,13
131,30
27,12
1,0
1,0
3,1
1,0
1,0
14,1
1,0
3,0
1,0
1,0
1,0
3,3
2,0
3,1
1,0
3,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,1
3,1
1,0
1,0
1,0
1,0
1,0
2,0
2,0
1,0
1,0
1,0
22,13
3,2
7,1
1,0
8,2
1,0
1,0
2,1
100,39
1,0
1,0
1,0
1,0
1,0
580,83
2,1
1,0
36,9
37,16
18,6
3,2
2,0
5,0
1,0
1,1
1,0
1,0
23,4
5,0
1,0
4,1
1,0
146,13
1,0
1,0
1,0
2,0
1,0
5,0
1,0
2,0
1,0
4,1
62,16
3,2
2,0
1,0
2,1
33,15
1,0
1,0
1,0
1,0
376,201
1,0
3,0
1,0
1,0
1,0
1,0
2,2
1,1
73,28
1,1
2,0
1,0
1,0
12,10
16,11
5,2
99,23
4,2
1,0
1,0
1,0
89,11
2,0
3,0
1,0
2,1
1,0
1,0
1,0
4,1
1,0
1,0
1,0
1,2
7,6
1,0
1,0
5,1
1,0
4,0
1,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
142,30
1,0
1,1
1,0
1,0
10,2
1,0
8,3
1,0
1,0
1,0
10,3
1,0
4,0
11,2
30,0
1,0
2,0
1,1
1,0
1,0
4,0
35,15
1,0
2,1
1,0
1,1
1,0
13,8
45,12
6,4
7,9
2,0
2,4
1,0
3,0
4,0
1,0
2,4
1,1
193,91
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,1
7,0
14,6
1,0
1,0
2,0
1,0
1,0
1,0
1,0
2,0
1,0
37,28
1,9
144,119
6,0
2,1
6,2
2,0
3,2
1,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
4,0
1,0
1,2
13,1
4,0
10,6
4,2
2,2
10,0
4,2
5,1
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,0
2,1
1,0
1,0
1,0
13,1
2,1
1,0
9,0
1,1
3,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
5,1
3,0
1,0
10,1
5,0
5,0
1,0
1,0
1,0
53,98
1,0
3,3
4,0
3,1
10,5
1,0
1,0
2,0
18,5
7,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,0
1,0
1,0
11,4
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
583,98
6,5
2,0
2,0
2,1
1,0
1,0
1,0
2,1
1,0
2,1
2,0
1,0
2,1
2,0
1,1
6,3
1,0
1,0
2,0
1,0
2,0
2,0
2,1
4,2
9,4
2,0
1,0
3,2
1,0
2,0
1,0
4,1
1,0
1,0
1976,420
3,0
1,0
13,4
2,0
149,59
1,0
1,0
2,0
2,0
2,1
1,0
399,76
1,0
71,19
1,0
26,4
33,33
4,2
5,5
13,0
1,0
5,1
1,0
2,2
1,0
1,0
1,0
1,0
17,8
1,0
1,1
3,2
3,0
1,0
2,0
10,1
4,2
2,0
14,11
2,1
1,0
37,4
3,1
43,24
46,20
2,2
41,23
9,13
1,0
1,0
19,4
2,0
1,0
1,0
1,0
1,0
1,0
1,0
169,25
1,0
1,1
3,0
71,27
1,0
1,0
25,7
26,6
2,1
1,0
3,0
1,0
1,0
1,0
1,0
5,6
3,1
87,31
1,0
1,0
1,0
2,1
1,0
1,1
1,0
1,0
4,0
2,1
1,0
1,0
11,43
22,7
7,5
6,0
3,0
7,0
2,0
2,2
2,2
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2316,337
2,0
1,0
2,0
2,2
3,0
4,0
3,2
3,1
18,33
3,11
79,45
2,1
8,5
35,84
2,1
2,1
1,0
2,1
1,0
1,1
2,2
1,0
1,0
1,1
1,0
1,0
6,9
1,0
1,0
1,0
5,3
12,10
2,17
3,1
1,12
1,0
5,5
2,0
1,0
3,4
41,28
3,0
10,0
1,4
13,3
1,0
1,0
1,0
2,1
1,0
1,3
1,0
1,0
2,1
1,0
1,0
1,1
1,0
1,0
1,0
4,3
1,0
3,1
8,9
3,7
20,6
2,0
1,0
1,0
1,1
1,0
2,0
5,1
186,35
1,0
1,0
1,0
2,0
1,0
1,0
2,0
131,16
1,0
1,0
2,0
1,0
2,0
1,0
10,0
1,0
2,1
1,0
1,0
2,0
1,0
1,0
139,81
8,12
11,1
13,10
1,0
1,0
2,0
2,0
2,1
5,1
1,0
25,7
1,0
4,4
1,0
1,0
1,0
1,0
2,0
3,0
11,4
1,0
1,2
2,1
2,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,1
3,1
1,0
1,0
1,0
2,0
57,29
7,2
1,0
1,0
1,0
1,0
6,7
2,9
2,5
7,2
1,0
1,0
5,1
2,0
2,5
1,0
1,0
1,0
1,1
2,0
1,0
2,0
1,0
159,56
1,0
1,0
1,0
3,0
1,0
1,0
1,0
75,33
1,36
4,0
5,3
12,4
1,0
8,4
4,2
15,7
128,29
1,0
1,0
1,0
2,1
2,1
1,0
1,1
1,0
1,0
3,0
2,2
2,0
1,0
1,0
1,1
1,0
1,0
1,0
3,0
2,3
1,0
9,1
3,0
9,9
9,11
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,3
2,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
7,4
2,1
1,0
42,32
32,19
2,3
5,2
4,5
6,1
1,0
2611,1493
1,0
2,0
2,2
1,18
1,0
64,15
1,0
1,0
11,2
109,16
4,17
1,0
1,0
1,0
1,0
1,0
1,0
37,13
943,461
189,87
1,0
14,18
11,13
68,11
3,2
8,0
615,322
5,0
1,0
2,1
7,1
1,0
1,0
1,0
2,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
209,42
1,0
11,4
1,0
4,3
1,0
3,1
1,0
1,0
2,0
4,1
1,0
13,14
6,2
6,2
2,0
3,0
1,0
6,1
1,0
1,2
2,1
1,0
21,7
62,24
3,0
2,0
1,0
1,0
8,5
1,0
1,0
3,1
1,0
1,0
2,1
24,8
27,20
11,11
8,9
2,0
1,0
2,2
1,0
1,0
14,6
1,0
1,0
1,0
1,0
3,1
2,0
1,0
1,0
1,0
1,0
54,23
1,0
1,0
2,0
2,0
1,0
2,1
19,6
2,6
2,1
2,0
1,0
1,0
2,0
1,0
32,12
6,3
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
1,0
1,0
1,0
1,0
1,1
1,0
54,60
12,5
14,8
44,22
2,0
833,262
4,2
2,0
1,0
4,5
12,1
1,0
2,0
1,0
2,0
3,0
3,0
1,0
1,0
1,0
1,0
1,0
26,3
2,0
914,265
16,42
67,68
27,9
6,4
4,2
10,2
1,0
1,0
6,2
1,0
3,3
1,0
1,0
3,2
3478,397
1,0
1,0
6,1
2,0
1,0
1,0
36,3
689,71
88,23
3,1
3,1
1,2
1,0
2,5
7,1
7,1
7,4
10,4
2,0
2,0
1,1
1,0
1,2
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1220,231
1,1
2,0
16,8
1,1
2,0
30,27
1,0
150,34
14,9
14,8
4,16
2,1
1,0
5,6
10,4
1,0
2,3
1,0
9,0
3,0
2,0
1769,155
1,0
1,0
1,0
1,0
2,2
1,0
9,2
3,0
1,1
45,11
6,5
16,6
68,13
16,7
2,0
8,0
5,0
3,1
19,6
5,2
1,0
10,4
1,0
1,1
1,0
9,2
86,17
3,0
1,0
1,0
3,4
1,0
4,2
6,4
1,0
1,0
1,0
1,0
3,3
4,0
3,1
1,0
1,0
4,0
1,0
1,0
1,0
1,0
1,0
1,1
2,2
281,70
1,0
1,0
1,0
26,24
2,0
5,2
1,0
2,0
2,0
1,0
1281,265
1,0
5,1
1,0
1,1
1,0
1,0
1,0
21,9
110,11
1,0
2,0
1,0
190,99
1,12
16,1
9,9
1,0
1,0
1,0
1,0
13,9
2,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
6,1
1,0
3,0
1,0
2,0
1,0
2,3
30,19
30,37
10,20
23,13
38,33
7,4
8,3
7,6
5,2
2,0
4,2
1,0
1,0
1,0
1,0
1,0
1,0
5,1
1,0
1,0
3,1
1,0
1,0
1,0
2,0
1,0
1,0
2,0
1,0
1,0
1,0
8,2
2,1
2,0
4,0
1,0
176,22
1,0
3,2
15,2
4,2
2,1
3,1
1,2
2,1
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
21,1
1,0
1,0
3,0
1,1
1,0
1,0
21,96
31,120
8,8
2,3
3,1
1,0
1,2
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
7,3
1,0
7,5
1,0
1,0
1,1
10,5
1,0
3,2
2,0
2,0
1,0
1,0
1,0
1,0
1,0
20,3
3,1
1,0
2,1
10,3
1,0
10,1
1,0
4,1
1,0
42,10
13,14
26,9
2,0
9,8
1,0
5,1
1,1
1,0
5,3
1,1
1,0
1,0
2,0
1,0
1,0
3,2
25,32
7,2
3,1
2,1
5,3
1,0
1,1
3,0
66,87
1,0
2,0
1,0
1,0
1,0
59,31
1,0
1,0
2,0
4,2
3,0
1,0
1,0
1,0
1,2
1,0
1,0
1,0
951,557
40,9
29,11
1,0
3,1
2,0
6,1
2,1
1,0
1,0
1,0
1,0
5,1
94,27
1,0
1,0
1,0
3,1
2,0
1,0
2,0
13,9
8,4
3,5
5,4
2,0
2,1
723,143
1,0
1,0
2,1
1,1
1,0
1,0
1,1
1,0
2,0
3,0
1,0
36,5
1,0
1,0
1,0
2,0
24,16
9,2
3,0
16,3
6,0
1,0
1,0
1,0
718,169
2,0
8,4
1,0
1,0
3,7
4,2
3,1
1,0
6,0
2,3
1,0
3,2
1,1
1,0
1,0
3,1
1,0
2,0
3,0
4,1
1,0
1,0
35,10
1,0
2,1
1,0
4,1
62,5
1,0
6,0
4,3
2,1
3,3
2,1
1,0
1,1
41,11
1,0
1,0
1,0
1,0
2,0
1,0
2,0
2,0
2,0
1,0
26,4
1,0
2,0
1,0
1,0
53,17
1,0
1560,438
400,161
7,4
1,2
6,5
1,1
50,64
1,0
4,0
1,0
1,0
2,0
1,0
2,0
34,6
1,0
2,0
7,4
4,3
198,34
4,1
11,3
20,5
1,0
7,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
26,4
6,3
8,2
3,1
3,0
2,4
1,0
4,1
3,0
2,0
1,0
1,0
1,1
2,1
2,0
26,13
41,17
1,0
1,0
1,0
1,1
1,0
1,0
1,1
41,60
3,1
13,29
42,29
1,0
1,0
5,0
1,0
1,0
4,1
1,1
1,0
1,0
1,0
4,2
4,1
1,0
39,25
36,27
1,2
4,0
1,3
1,0
1,0
1,0
2,1
1,0
2,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
10,41
1,0
2,0
1,0
1,0
1,0
14,8
4,2
1,0
5,1
1,0
1,0
2,0
4,1
1,0
1,0
9,2
2,1
217,100
2,0
44,29
2,0
1,0
1,0
8,4
1,0
1,0
2,3
1,0
1,0
1,0
1,0
5,1
1,0
2,0
3,0
1190,264
1,0
2,1
1,0
25,1
110,47
22,14
4,2
5,8
1,0
2,0
8,5
2,1
1,0
11,0
1,1
7,1
1,0
1,1
1,0
2,0
1,0
3,0
2,0
171,25
2,1
5,0
1,0
1,0
1,0
1561,709
29,18
6,2
14,9
5,1
29,21
1,0
1,2
7,2
10,2
1,0
1,0
1,0
1,0
1,1
144,42
1,0
1,0
1,0
1,0
1,0
2,0
2,2
1,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
3,0
8,4
4,4
2,1
2,0
2,1
1,0
1,1
1,0
1,0
1,1
1,0
5,0
1,0
4,1
2,0
1,0
39,38
1,0
99,64
7,15
6,2
9,1
25,5
6,1
2,0
1,0
1,0
2,3
1,0
1,0
37,25
1,0
4,0
23,6
1,0
8,2
1,0
4,2
1,0
6,3
2,1
1,0
2,0
28,27
1,1
2,1
5,3
1,0
1,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
169,72
1,0
1,0
2,1
2,0
143,50
1,0
1,0
2,1
227,28
2,0
1,0
4,2
20,6
2,0
17,4
1,0
2,6
4,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
20,5
3,0
1,0
9,3
3,1
3,1
23,29
12,4
1,0
2,2
1,0
3,1
1,1
1,0
1,0
6,1
1,1
1,0
1,0
8,1
3,1
4,0
20,2
2,2
1,0
4,0
1,0
1,0
7,1
1,0
1,0
7,11
14,5
2,1
4,2
1,0
1,1
6,30
122,56
2,1
1,0
1,0
1,0
3,1
1,0
1,0
5,2
1,0
1,2
4,1
1,0
4,1
1,0
24,7
2,0
1,0
1,0
2,0
1,0
1,1
1,0
1,1
1,0
44,8
59,7
4,0
4,3
3,0
1,0
5,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
5,3
1,0
1,0
1,0
2,2
9,1
3,0
6,6
3,1
4,1
2,1
1,0
1,2
1,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
98,21
1,0
1,0
1,0
6,8
3,3
3,2
66,48
10,6
2,2
38,12
2,0
2,0
5,1
2,0
2,0
6,3
2,0
3,7
31,15
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1219,238
2,1
57,6
9,4
3,1
1,1
1,0
143,59
14,7
33,114
5,4
26,7
2,2
2,1
1,2
1,0
5,1
2,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
43,8
13,30
23,22
9,4
2,0
3,11
2,0
2,0
2,0
1,0
1,0
4,0
2,0
2,1
1,0
4,1
2,1
1,0
1,0
1,1
1,0
1,0
67,38
1,0
2,2
2,0
2,0
2,0
1,0
1,0
4,0
56,25
2,3
2,1
11,2
5,5
2,0
1,0
2,0
1,1
1,0
2,0
10,3
1,0
1,0
1,0
1,1
1,0
2,0
1,0
38,8
1,0
5,1
1,0
2,0
3,0
1,0
1,0
2,0
1,0
2,1
1,73
7,1
12,4
2,0
1,0
1,4
2,0
3,0
3,2
110,35
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
4,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
7,1
1,1
3,1
1,0
9,8
4,5
15,10
11,7
3,2
6,3
12,5
4,1
1,0
1,0
3,0
6,0
1,0
3,1
1,0
1,0
2,0
1,0
6,3
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
3,1
1,0
94,26
3,4
3,1
2,0
1,0
1,0
40,10
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,1
35,45
2,0
1,0
1,0
1,0
1,0
291,32
1,0
6,2
4,5
2,8
3,1
3,0
